name,time,priority
uav27,23.58,3.9600736724916357
uav3,24.035,2.400491988408004
uav15,24.368,2.4090342632461685
uav19,24.508,4.798217199467474
uav6,24.836,2.40570175372327
uav17,24.927,5.30161332152875
uav20,25.007,4.737263051076726
uav13,25.467,4.432542294421774
uav36,25.65,4.009677289947558
uav5,25.705,2.528810592767615
uav39,25.919,4.475478748033153
uav8,26.186,4.872273892364124
uav18,26.256,5.211469148266044
uav4,26.385,4.645466321629508
uav26,26.427,2.5377825931022104
uav11,26.915,3.142479004935112
uav35,27.039,2.733402832861315
uav32,27.097,3.3379048779195597
uav28,27.186,3.946288439916799
uav38,27.267,3.261561174673069
uav24,27.536,1.5004047186634544
uav9,28.325,3.119649103904388
uav40,28.566,4.408711568201254
uav23,28.796,4.092185386640524
uav30,28.816,2.0023907939287495
uav12,28.885,4.08959867841374
uav22,29.476,2.0673857860898113
uav14,29.555,3.8480470798331132
uav16,30.075,3.69769272080983
uav10,31.025,2.0094947066187676
uav33,32.725,3.470636856206457
uav25,32.815,3.3804025373262285
uav37,32.975,3.2988100298461966
uav1,33.775,2.2505022511778288
uav29,34.675,1.5033686055707143
uav21,35.035,2.2654177215851403
uav2,36.825,1.6894745545378806
uav7,36.845,1.4629701727161035
