name,time,priority,efficiency
uav8,56.242,3,0.7823316737283338
uav13,56.555,3,0.7780016867663733
uav23,56.835,3,0.7741693579662173
uav27,58.035,3,0.7581634541211933
uav10,59.802,3,0.7357610728001749
uav29,66.678,3,0.6598867962613961
uav36,66.862,3,0.6580731241906412
uav4,67.785,3,0.649108513156885
uav9,69.582,3,0.6323476214713247
uav35,70.562,3,0.6235653045645141
uav3,72.303,3,0.6085520974963035
uav37,73.33,3,0.6000287021312485
uav21,74.154,3,0.5933588613176216
uav33,78.282,3,0.5620715049651934
uav22,81.798,3,0.5379107910044677
uav34,82.041,3,0.5363165286471514
uav19,82.23,3,0.5350825324961342
uav32,82.87,3,0.5309516970688052
uav7,83.982,3,0.5239202077556254
uav5,88.72,3,0.4959401860861864
uav2,91.78,3,0.47940881670815744
uav6,93.432,3,0.4709307102108943
uav1,93.982,3,0.46817567129350823
uav15,96.626,3,0.45536557061322047
uav41,97.14,3,0.452956092926493
uav40,99.985,3,0.4400651208776388
uav14,100.318,3,0.43860408353948693
uav20,104.444,3,0.42127941552049064
uav39,104.908,3,0.4194163224498585
uav18,105.211,3,0.4182084198423864
uav17,108.779,3,0.40449143620707584
uav31,116.534,3,0.3775722756772778
