name,time,priority,efficiency
uav21,37.047,3.1685787505011893,0.8996217444617668
uav35,38.122,4.595154556340353,0.9840647104338358
uav27,40.865,1.935502740658486,0.9804209507961993
uav1,42.614,-0.4518880885042629,0.9876485392989325
uav31,42.906,4.379468615734642,0.9636413413700627
uav22,45.826,5.742563354021397,0.9223084894522618
uav8,45.973,3.6832824405951294,0.9197167173682255
uav40,47.145,2.312276963340243,0.7874533418500733
uav17,47.393,4.4630783006709915,0.9219801175623445
uav24,48.896,3.957016582201466,0.8634043746398219
uav18,49.104,5.242935043649936,0.8858072189404017
uav29,49.295,2.444384781647475,0.7691541372028232
uav5,49.569,3.321407646245302,0.7981624603687223
uav41,49.839,3.9628323793090976,0.8523475756155661
uav37,50.007,3.7019159561236523,0.8708360151749746
uav13,50.663,4.283157376808586,0.8417641428914412
uav10,51.253,6.559105948943235,0.8551988787346959
uav12,52.145,4.0922012203693106,0.8364294190752333
uav6,52.407,4.21606593473312,0.8367797849665044
uav20,53.25,4.001442713753873,0.8261201278440199
uav15,53.568,3.7679896976230745,0.8072389466528178
uav7,54.32,3.335251375463584,0.8099507644776734
uav4,54.698,2.715235570899454,0.7920071197861355
uav38,55.774,2.679571797773212,0.7876002923386806
uav33,56.052,3.0548397709191994,0.7849256641784078
uav3,56.414,3.202716869236017,0.7797023653329042
uav16,56.807,2.9140267584559174,0.7343593003316261
uav23,57.014,3.7473837659215956,0.7710238976543891
uav19,58.607,4.8308340020846465,0.7468622554101761
uav2,59.451,3.0133954648114494,0.7382652662116542
uav39,59.796,2.3930306430022927,0.7068358705800165
uav28,61.391,1.6866363827054,0.6867001974007917
uav26,62.589,2.30928636016265,0.7029559245508662
uav36,64.969,1.8088086057858497,0.674606609992353
uav14,65.573,1.113821925324074,0.6636361870090172
uav25,66.912,3.010213562486414,0.6379948590889887
uav32,70.554,2.394080795549835,0.5919770236408138
uav34,78.699,1.8093003246304542,0.5325374496905212
uav30,82.513,0.7572258479428768,0.4617735305671113
