name,time,priority,efficiency
uav32,6.016,2.4888250682537905,0.767952895727165
uav14,9.048,5.872641407861581,0.9521839047976778
uav37,10.481,4.701350982997328,0.8566341966936638
uav24,11.971,2.720192920856193,0.9549162864111908
uav29,12.114,5.064605718324611,0.96131317907717
uav20,13.811,3.29483057629941,0.9580543863616254
uav17,14.102,2.812501327419941,0.7104732538430216
uav27,16.372,5.419019752493334,0.8784262561333402
uav26,16.751,1.7498925047710143,0.8551826254448165
uav34,17.051,4.425243488099639,0.8977675568160891
uav18,17.687,4.329971265091654,0.8935387832102808
uav41,20.18,2.5449300965451687,0.8607502694973573
uav23,22.068,5.656907400858763,0.9795926477610692
uav19,24.256,3.4079885757823796,0.9003663596992051
uav8,24.704,3.196069675908817,0.9541455272498129
uav31,27.358,4.529007721022742,0.9842360165091069
uav12,30.598,2.050988796511411,0.9619998958887473
uav1,31.357,2.9259362891753136,0.9228316494884216
uav35,31.692,2.457832472712367,0.9565258586823013
uav40,32.735,2.9373418916855045,0.8660308802373965
uav28,33.684,2.7700238039209717,0.9687490603207739
uav39,34.001,4.96104932219852,0.854803248838515
uav10,34.58,6.88888176256396,0.985966053368219
uav5,35.618,3.4906771853820118,0.8992290132018793
uav22,36.522,2.5914558584631373,0.985157586620287
uav25,36.963,3.7571458956140376,0.9823535857999969
uav13,37.634,3.1733612142682808,0.9540532781601109
uav9,37.927,1.7326589527323344,0.9763368558823996
uav38,38.29,5.228449068839408,0.9265297234003468
uav30,39.905,3.5136160877493587,0.9343630213567112
uav16,42.41,1.9565410082365866,0.9830276016942722
uav33,43.368,3.9520017603431112,0.9423297082968739
uav6,43.798,2.9007992654003867,0.9865455158959904
uav21,44.632,5.368301509930148,0.9542689813125824
uav3,45.04,6.095767114657614,0.9275400982218972
uav36,45.435,3.652734281757164,0.9636276980928984
uav7,46.435,3.9676232844183605,0.9186472734186499
uav11,47.265,3.327723796098368,0.8928158648107778
uav4,47.753,3.0073444413581885,0.9161333029402472
uav2,47.983,3.3966336734417286,0.853030969233408
uav15,51.233,5.24625785196436,0.8517126794942883
