name,time,priority,efficiency
uav29,5.016,1.0559594716049898,0.9251687334256751
uav32,8.593,5.842931331377001,0.8162215727780414
uav19,8.751,3.6662154359123273,0.9506805270959875
uav9,9.373,3.3111845223495506,0.9550343687538814
uav39,11.253,-0.6213484197545709,0.8251626191568087
uav34,12.519,2.7989395184547643,0.9636055136817581
uav1,12.937,5.392478168249023,0.9371929379656584
uav2,14.11,2.6589904110819473,0.8754756841410832
uav16,15.122,4.977137027399482,0.9636921148063613
uav41,15.798,4.277650349500439,0.8758870362632634
uav25,16.419,3.950565111854748,0.5666987327903903
uav3,19.581,3.7533251399573317,0.9130422466747105
uav30,21.007,1.9799795548180061,0.6903292098660497
uav22,22.584,3.018676663441542,0.9791093855843783
uav27,24.625,3.3395766941951193,0.9448769318033967
uav36,27.146,3.3042322138571136,0.9768240877223733
uav33,27.385,4.495923114826499,0.9371385703737667
uav31,29.454,3.2940161022500742,0.9185378064075894
uav6,32.519,5.169478302137411,0.8642036623161728
uav26,32.75,4.162270021004425,0.9226104252442249
uav23,37.474,4.7854050693066315,0.985731771193733
uav18,38.391,4.067275192397651,0.9760689475362776
uav40,38.814,4.1798965481706265,0.9710532150552278
uav13,39.711,2.439929936398914,0.9382720386394227
uav4,39.994,1.8524101765959806,0.9195826151345048
uav17,41.237,4.3222985143771595,0.9601087342524653
uav24,41.618,5.03039461968045,0.9786314194381023
uav15,42.2,4.373705162050408,0.9859732764325954
uav21,43.082,2.206607785827159,0.8827554605617797
uav35,44.106,3.605282435183554,0.9297126698612671
uav14,44.334,2.098870028343285,0.9663653855657807
uav28,44.71,2.7985456895448255,0.9773186411695
uav12,45.104,4.418822603545049,0.9491636589985724
uav11,45.494,3.2829573671119836,0.967040809666317
uav7,45.999,5.0155634539713905,0.9245638083155016
uav10,46.391,4.549017087238793,0.9484337827295376
uav8,47.408,2.634862438738466,0.855992402246703
uav38,48.186,2.8848682788978532,0.9112088937651557
uav5,48.407,2.3797334240817403,0.8678170420910339
uav20,48.811,3.0272335579141476,0.8992327446142445
uav37,49.211,4.5839550656803,0.8917892615505655
